census_tract,census_county,hvi
6037218702,Los Angeles County,57.49
6037218800,Los Angeles County,51.51
6037218900,Los Angeles County,59.01
6037219010,Los Angeles County,60.28
6037219020,Los Angeles County,55.98
6037219300,Los Angeles County,63.13
6037219500,Los Angeles County,44.78
6037219700,Los Angeles County,56.40
6037219800,Los Angeles County,64.64
6037219901,Los Angeles County,69.62
6037219902,Los Angeles County,54.25
6037220000,Los Angeles County,57.37
6037220100,Los Angeles County,54.86
6037221110,Los Angeles County,69.79
6037221120,Los Angeles County,61.19
6037221210,Los Angeles County,62.13
6037221220,Los Angeles County,58.53
6037221302,Los Angeles County,62.65
6037221303,Los Angeles County,68.28
6037221304,Los Angeles County,61.94
6037221401,Los Angeles County,67.49
6037221402,Los Angeles County,49.46
6037221500,Los Angeles County,60.63
6037221601,Los Angeles County,58.61
6037221602,Los Angeles County,63.96
6037221710,Los Angeles County,59.04
6037221810,Los Angeles County,64.98
6037221820,Los Angeles County,55.70
6037221900,Los Angeles County,62.59
6037222001,Los Angeles County,56.66
6037222002,Los Angeles County,61.78
6037222100,Los Angeles County,57.26
6037222200,Los Angeles County,61.18
6037222500,Los Angeles County,57.83
6037222600,Los Angeles County,57.71
6037222700,Los Angeles County,43.35
6037224010,Los Angeles County,75.64
6037224020,Los Angeles County,74.42
6037224200,Los Angeles County,74.31
6037224310,Los Angeles County,70.49
6037224320,Los Angeles County,70.02
6037224410,Los Angeles County,60.87
6037224420,Los Angeles County,63.96
6037224600,Los Angeles County,64.63
6037224700,Los Angeles County,60.51
6037226001,Los Angeles County,74.02
6037226002,Los Angeles County,90.81
6037226410,Los Angeles County,71.69
6037226420,Los Angeles County,66.68
6037226700,Los Angeles County,67.20
6037227010,Los Angeles County,63.68
6037227020,Los Angeles County,64.81
6037228100,Los Angeles County,68.89
6037228210,Los Angeles County,65.52
6037228220,Los Angeles County,65.49
6037228310,Los Angeles County,67.77
6037228320,Los Angeles County,62.13
6037228410,Los Angeles County,65.45
6037228420,Los Angeles County,64.96
6037228500,Los Angeles County,67.72
6037228600,Los Angeles County,71.06
6037228710,Los Angeles County,64.22
6037228720,Los Angeles County,68.05
6037228800,Los Angeles County,62.81
6037228900,Los Angeles County,71.19
6037229100,Los Angeles County,58.36
6037229200,Los Angeles County,68.22
6037229300,Los Angeles County,69.20
6037229410,Los Angeles County,68.11
6037229420,Los Angeles County,62.31
6037231100,Los Angeles County,65.32
6037231210,Los Angeles County,68.77
6037231220,Los Angeles County,66.98
6037231300,Los Angeles County,65.95
6037231400,Los Angeles County,62.43
6037231500,Los Angeles County,59.94
6037231600,Los Angeles County,66.41
6037231710,Los Angeles County,77.55
6037231720,Los Angeles County,77.38
6037231800,Los Angeles County,72.43
6037231900,Los Angeles County,63.17
6037232110,Los Angeles County,68.08
6037232120,Los Angeles County,74.76
6037232200,Los Angeles County,65.45
6037232300,Los Angeles County,58.08
6037232400,Los Angeles County,60.87
6037232500,Los Angeles County,65.19
6037232600,Los Angeles County,57.47
6037232700,Los Angeles County,65.23
6037232800,Los Angeles County,59.58
6037234000,Los Angeles County,45.59
6037234200,Los Angeles County,40.00
6037234300,Los Angeles County,53.11
6037234501,Los Angeles County,53.33
6037234502,Los Angeles County,54.27
6037234600,Los Angeles County,57.92
6037234700,Los Angeles County,63.56
6037234800,Los Angeles County,57.92
6037234901,Los Angeles County,76.53
6037234902,Los Angeles County,70.81
6037235100,Los Angeles County,42.31
6037235201,Los Angeles County,56.73
6037235202,Los Angeles County,60.35
6037236000,Los Angeles County,29.52
6037236100,Los Angeles County,61.97
6037236202,Los Angeles County,66.29
6037236203,Los Angeles County,55.08
6037236204,Los Angeles County,64.81
6037236400,Los Angeles County,45.30
6037237101,Los Angeles County,72.56
6037237102,Los Angeles County,65.23
6037237201,Los Angeles County,59.69
6037237202,Los Angeles County,69.01
6037237300,Los Angeles County,67.06
6037237401,Los Angeles County,62.40
6037237402,Los Angeles County,61.15
6037237500,Los Angeles County,75.09
6037237600,Los Angeles County,65.09
6037237710,Los Angeles County,62.84
6037237720,Los Angeles County,67.04
6037237800,Los Angeles County,54.16
6037237900,Los Angeles County,55.26
6037238000,Los Angeles County,59.76
6037238100,Los Angeles County,58.83
6037238200,Los Angeles County,56.35
